"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190003469","22/2/19",16:35:00,"Collision with vehicle","Friday","Day",3,2,"Cross intersection",3,60,"A",2015,"WAGON","NISSAN","Station Wagon","F",81,"70+","Drivers"
"T20190003469","22/2/19",16:35:00,"Collision with vehicle","Friday","Day",3,2,"Cross intersection",3,60,"B",1992,"SEDAN","HOLDEN","Car","M",63,"60-64","Drivers"
"T20190003470","22/2/19",15:45:00,"Collision with vehicle","Friday","Day",2,3,"Cross intersection",2,50,"A",2018,"WAGON","MAZDA","Car","F",52,"50-59","Drivers"
"T20190003476","22/2/19",19:00:00,"Collision with vehicle","Friday","Day",2,2,"Not at intersection",3,80,"A",2013,"SEDAN","FORD","Car","F",19,"17-21","Drivers"
"T20190003476","22/2/19",19:00:00,"Collision with vehicle","Friday","Day",2,2,"Not at intersection",3,80,"B",2018,"S WAG","NISSAN","Station Wagon","F",27,"26-29","Drivers"
"T20190003478","22/2/19",19:30:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,80,"A",2017,"WAGON","HYNDAI","Station Wagon","F",31,"30-39","Drivers"
"T20190003478","22/2/19",19:30:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,80,"B",2005,"COUPE","TOYOTA","Car","M",50,"50-59","Drivers"
"T20190003481","22/2/19",16:00:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",2,80,"A",2010,"SEDAN","VOLKS","Car","M",19,"17-21","Drivers"
"T20190003482","22/2/19",18:45:00,"Collision with vehicle","Friday","Day",3,4,"Cross intersection",3,40,"A",2005,"SEDAN","VOLKS","Car","M",19,"17-21","Drivers"
"T20190003482","22/2/19",18:45:00,"Collision with vehicle","Friday","Day",3,4,"Cross intersection",3,40,"B",2011,"WAGON","SKODA","Station Wagon","F",55,"50-59","Drivers"
"T20190003482","22/2/19",18:45:00,"Collision with vehicle","Friday","Day",3,4,"Cross intersection",3,40,"D",2018,"BUS","SCANIA","Bus/Coach","M",74,"70+","Drivers"
"T20190003483","22/2/19",18:12:00,"Collision with vehicle","Friday","Day",4,6,"Not at intersection",3,80,"A",2012,"UTIL","HOLDEN","Utility","M",21,"17-21","Drivers"
"T20190003483","22/2/19",18:12:00,"Collision with vehicle","Friday","Day",4,6,"Not at intersection",3,80,"B",2016,"WAGON","HYNDAI","Station Wagon","F",32,"30-39","Drivers"
"T20190003483","22/2/19",18:12:00,"Collision with vehicle","Friday","Day",4,6,"Not at intersection",3,80,"C",2011,"COUPE","AUDI","Car","F",18,"17-21","Drivers"
"T20190003483","22/2/19",18:12:00,"Collision with vehicle","Friday","Day",4,6,"Not at intersection",3,80,"D",2013,"SEDAN","HYNDAI","Car","F",30,"30-39","Drivers"
"T20190003486","22/2/19",18:02:00,"Collision with vehicle","Friday","Day",2,3,"Not at intersection",2,60,"A",1996,"UTIL","HOLDEN","Utility","M",26,"26-29","Drivers"
"T20190003486","22/2/19",18:02:00,"Collision with vehicle","Friday","Day",2,3,"Not at intersection",2,60,"B",2007,"UTIL","NISSAN","Utility","M",29,"26-29","Drivers"
"T20190003487","22/2/19",19:05:00,"Collision with vehicle","Friday","Day",2,4,"Cross intersection",3,50,"A",2018,"SEDAN","TOYOTA","Car","M",52,"50-59","Drivers"
